Post_ID,Location_ID,Audience_Age,Age_Group,Audience_Gender,Audience_Location,Audience_Continent,Audience_Interests
135e99a3-29a5-4843-96cd-d79ddd6515a0,85,47,Senior Adults,Other,Burkina Faso,Africa,cup
00333ed0-b4c8-496b-826a-5626710da914,14,47,Senior Adults,Other,Mali,Africa,serious
810e8efe-e7b3-4dd9-8ee4-97bd108fb6c2,86,42,Mature Adults,Male,Israel,Asia,when
787f2fb9-4d2c-4a7b-a98b-0a4621128f03,87,45,Mature Adults,Other,Saint Barthelemy,NorthAmerica,conference
6c2d771b-8921-454b-9ee2-70e4266d32af,88,48,Senior Adults,Other,Congo,Africa,wish
7692ca40-b539-4ed5-bc92-749876609677,89,31,Mature Adults,Other,Bangladesh,Asia,training
e6a208bf-8a4b-4e32-ab52-f4559af2e094,30,55,Senior Adults,Female,Anguilla,NorthAmerica,second
6469cbb0-e5e5-4f8b-b735-0ec22830f84c,90,57,Senior Adults,Male,Ghana,Africa,anyone
e1394ac4-cc9b-4ca3-ab4d-4c5fac881b52,71,21,Adolescent Adults,Other,Bosnia and Herzegovina,Europe,chance
7c46d901-fb6b-40bf-8d5d-a69b9644803f,66,28,Adolescent Adults,Male,Sao Tome and Principe,Africa,pull
c9cff934-e4e1-4dac-a9dc-01042c971085,91,40,Mature Adults,Female,Saint Kitts and Nevis,NorthAmerica,threat
82a8181e-367c-4154-93e4-d050f6ead889,49,48,Senior Adults,Male,Martinique,NorthAmerica,science
e99f4f81-45fa-44ef-b465-73b1f51eb79e,92,42,Mature Adults,Female,Nigeria,Africa,feeling
31ae27f1-3ea1-47b7-8093-8b9eeb678026,93,29,Adolescent Adults,Female,Montenegro,Europe,yes
815c982b-4035-43fb-b1e9-5effc46f58a9,94,53,Senior Adults,Female,Heard Island and McDonald Islands,Oceania,prove
5fe535df-d7f5-4c66-92d7-01894df3bbda,95,30,Adolescent Adults,Other,Senegal,Africa,book
38c9e082-fbd6-443e-9a41-735c90d4214b,96,23,Adolescent Adults,Female,Albania,Europe,get
408346da-8104-48f9-8df4-c4426cdaa20a,28,59,Senior Adults,Female,Cuba,NorthAmerica,indeed
6ecdcc28-0701-4183-aab5-35988a71cc4f,40,44,Mature Adults,Male,Georgia,Asia,without
9f0ab432-ce9c-47cb-9eac-d499f19a0698,13,36,Mature Adults,Other,Kazakhstan,Asia,worry
57eac3a1-f055-46f2-999b-275e60f3d402,81,62,Senior Adults,Female,Solomon Islands,Oceania,property
434e7bc1-35de-4b9b-b1c3-f67b504863ce,97,43,Mature Adults,Other,Cyprus,Asia,shoulder
eb724875-fea6-48c6-bd77-6fd923234b40,98,31,Mature Adults,Male,Costa Rica,NorthAmerica,law
9456c066-dc89-46e0-a5a5-3eaa028d7e05,59,45,Mature Adults,Male,Slovenia,Europe,record
cbe61817-c9c1-415e-99d9-a8b953fa7189,93,39,Mature Adults,Male,Montenegro,Europe,film
81e23ba8-e6e5-4550-8576-4e2dabe42e5c,99,53,Senior Adults,Female,Czech Republic,Europe,wonder
7bfcd3ca-40dd-4a48-ba9a-93db6a0fb986,81,46,Senior Adults,Female,Solomon Islands,Oceania,whether
6350e102-a982-4bf2-9161-000680bbc670,33,23,Adolescent Adults,Other,Bhutan,Asia,series
d6d8d409-a41a-4d1b-8ed7-57e8eeefcab8,57,21,Adolescent Adults,Other,Sweden,Europe,pressure
f2506ec8-34e1-4160-9e6a-422a0b3368e6,7,30,Adolescent Adults,Other,Moldova,Europe,might
89077450-f1ff-4c1f-a121-9c5b494c353e,84,62,Senior Adults,Female,Qatar,Asia,about
9660a5ba-acb6-4592-862d-8d569660eb24,100,36,Mature Adults,Female,Lesotho,Africa,require
9525f62e-b10c-4b0f-aed1-6709ede5ba73,101,61,Senior Adults,Male,Guam,Oceania,myself
facac0a7-ecb0-46eb-97b8-c012e64f5577,72,27,Adolescent Adults,Male,Malawi,Africa,natural
a8ad1dd7-e3a8-4796-8d18-7bfce154b8c9,38,41,Mature Adults,Female,Vietnam,Asia,speak
a4d7ac40-5846-4a32-ab29-71662c2d4785,102,38,Mature Adults,Other,Austria,Europe,claim
74fc0b2b-ce96-4a44-87f8-9e6f16d3a197,38,19,Adolescent Adults,Female,Vietnam,Asia,someone
0985e8b9-d0d8-458a-aa5f-9c82f070c4e2,8,27,Adolescent Adults,Male,Hong Kong,Asia,paper
98efca0c-94eb-42b8-ab15-1a12dd907d8f,103,48,Senior Adults,Other,Egypt,Africa,environment
52e5a465-a945-4913-9a43-11ba7241b417,80,53,Senior Adults,Male,Algeria,Africa,Republican
ca0ba72a-f0b0-4345-9e53-8fb2dd019fea,104,26,Adolescent Adults,Other,Papua New Guinea,Oceania,born
c29b5602-1439-4196-a275-08bf99b4f504,105,49,Senior Adults,Other,Marshall Islands,Oceania,sport
b1952b9c-b229-47b9-99bd-5543adbb2268,106,53,Senior Adults,Male,Paraguay,SouthAmerica,keep
6df76622-79fa-4914-bc18-f4baf4139d6b,92,54,Senior Adults,Female,Nigeria,Africa,allow
a1241aa3-7115-487e-8c73-0eadcc561d71,107,38,Mature Adults,Male,Thailand,Asia,model
677eb5e3-8f10-472c-a3e9-37b821c6924b,108,41,Mature Adults,Female,Estonia,Europe,suffer
785a2bbd-a410-4c9f-a295-bbba0cb678f1,109,62,Senior Adults,Male,Saint Helena,Africa,employee
41a4254e-4665-4494-905c-b6f5cf30c3e2,30,37,Mature Adults,Male,Anguilla,NorthAmerica,cell
718770aa-2e9b-42f4-a4ce-dfcf364267d9,62,60,Senior Adults,Other,Venezuela,SouthAmerica,wrong
b921ec1e-dabb-44c4-b8e7-7ae60c07ab08,110,46,Senior Adults,Male,Antarctica (the territory South of 60 deg S),Antarctica,model
91a58e49-73cb-47d0-b581-f75fb4871a28,111,42,Mature Adults,Male,Bahrain,Asia,yes
97f6f705-cf78-43e6-8aa7-798865a0056a,49,28,Adolescent Adults,Male,Martinique,NorthAmerica,over
83f2111d-b3f3-4b56-8c04-23f15a066b26,29,52,Senior Adults,Other,Libyan Arab Jamahiriya,Africa,modern
9e54da64-53fa-40a7-b080-15f242eb0a7c,59,50,Senior Adults,Other,Slovenia,Europe,situation
9560fd79-56ef-4e76-a1a2-7427e86c80eb,95,20,Adolescent Adults,Male,Senegal,Africa,happy
a0be9be2-d734-4172-a44d-cfc367b9c8be,56,64,Senior Adults,Other,Western Sahara,Africa,society
38fa455a-97e2-4196-88a1-73f3d6eb0b5d,40,20,Adolescent Adults,Female,Georgia,Asia,lawyer
5be063c7-6dd0-4fd0-8533-159940715c55,112,34,Mature Adults,Other,Poland,Europe,look
997c5daf-8970-41c5-8e3a-f2bf19744977,38,51,Senior Adults,Male,Vietnam,Asia,accept
c53cb715-e9bd-4cec-a067-febf60fe7c34,57,41,Mature Adults,Female,Sweden,Europe,effort
7baf01e1-d22f-427f-8dd3-00ca6543ac2f,113,23,Adolescent Adults,Female,Equatorial Guinea,Africa,in
6bb0064e-6143-40cc-83ac-5e759642f975,114,43,Mature Adults,Male,Niger,Africa,environment
019b8401-4c8c-4f43-a31a-16b8920d0c38,88,28,Adolescent Adults,Other,Congo,Africa,year
6fe1fd65-f77b-47db-8e61-a9cac1a49865,77,27,Adolescent Adults,Female,Svalbard & Jan Mayen Islands,Europe,real
b710de5a-b10e-4851-8bea-a37ed31d3d07,115,50,Senior Adults,Male,Dominica,NorthAmerica,measure
9fa31519-125c-48bf-8757-fbe67eb72b36,116,34,Mature Adults,Female,Liberia,Africa,cover
6c7f370c-7b82-4d4c-bf18-8d019ab2cfc8,104,41,Mature Adults,Male,Papua New Guinea,Oceania,power
1ec06b12-e80c-4d38-bed8-8aad44e378dd,95,18,Adolescent Adults,Other,Senegal,Africa,common
2455848a-f36d-41d8-85e8-2a7bca221f72,117,50,Senior Adults,Male,Cocos (Keeling) Islands,Oceania,individual
814daa87-34f9-45cf-8011-903ad1e05885,33,59,Senior Adults,Male,Bhutan,Asia,commercial
93dc14ac-3c9b-429a-97c9-0db4cfcfe9f9,118,64,Senior Adults,Female,Turkmenistan,Asia,door
10458bc0-9cd1-409e-8098-bcb994db9009,66,36,Mature Adults,Female,Sao Tome and Principe,Africa,lead
aac64f13-2ddc-4ba2-b56f-58c94c07a8ed,20,58,Senior Adults,Male,Cameroon,Africa,forget
353685dc-096e-4cf4-b462-4d85d8c78840,55,50,Senior Adults,Female,Saint Martin,NorthAmerica,effect
a15ac83e-ecd1-4838-b510-6be673722673,119,59,Senior Adults,Other,Tuvalu,Oceania,their
9e954e9a-9b09-4fc2-b629-7f5de7ba8092,35,36,Mature Adults,Male,Maldives,Asia,million
551159f5-a631-4f20-90ef-0a232e8c2707,120,36,Mature Adults,Female,Switzerland,Europe,television
e4522a58-fb46-4f9d-9b3a-15b2813511e2,121,58,Senior Adults,Male,Iran,Asia,personal
38b52e10-3f5b-4176-81e6-d3339e821d44,39,40,Mature Adults,Female,Netherlands,Europe,available
2887071e-78ec-47a6-aeb2-1bc0df2d0cc0,122,50,Senior Adults,Female,Uzbekistan,Asia,job
d2d37f50-ca7e-4a73-a7f8-6df5a91c36e2,73,46,Senior Adults,Other,Tajikistan,Asia,by
cb441e82-2bda-4867-85df-356e3303a09d,77,24,Adolescent Adults,Male,Svalbard & Jan Mayen Islands,Europe,pattern
2d89f44b-31f0-4016-9904-73f8c514b879,123,43,Mature Adults,Male,Australia,Oceania,which
a675f112-bdf6-46bd-916b-5968cff8c1c2,30,50,Senior Adults,Female,Anguilla,NorthAmerica,structure
769013c9-a61b-4128-ad90-8c2571326cdb,124,39,Mature Adults,Female,Panama,NorthAmerica,floor
ff6dc843-c082-4fb4-ab80-f461f8f8af17,81,37,Mature Adults,Female,Solomon Islands,Oceania,board
b8517d19-e128-41da-9483-642f413cdfd4,82,52,Senior Adults,Male,Guinea,Africa,ball
7875ff4e-628b-480c-a024-b79c756050fe,35,37,Mature Adults,Other,Maldives,Asia,easy
21162ba8-f7d0-433f-a0bb-a1d16beb2889,125,20,Adolescent Adults,Female,Brazil,SouthAmerica,natural
552bf0f9-58b1-40b2-9e27-9a3e31aa64ca,126,30,Adolescent Adults,Female,Serbia,Europe,into
58e68832-0bb9-4850-84bd-3c211758c018,127,47,Senior Adults,Other,Seychelles,Africa,ok
2465542a-3a5c-457d-8df7-c4ee77d8a3ae,75,18,Adolescent Adults,Other,Cambodia,Asia,learn
8467a5aa-c551-4c78-8424-6a38c11ae6ed,87,34,Mature Adults,Other,Saint Barthelemy,NorthAmerica,front
638fbdba-77cb-4340-bb2e-bcd19e3f969b,128,21,Adolescent Adults,Male,Tunisia,Africa,career
a5e0d855-5add-4206-b73b-6d4faf2d4953,66,65,Senior Adults,Male,Sao Tome and Principe,Africa,deal
7e6c247e-efc5-4b60-b014-f4709fb2dc50,129,61,Senior Adults,Male,Oman,Asia,these
ce399bb5-51ba-4419-bf44-def77141829c,130,41,Mature Adults,Female,Kuwait,Asia,feeling
d6b1d797-722f-44ab-bebe-9fd716c8e61f,61,43,Mature Adults,Female,Palau,Oceania,thus
d19d30c6-1766-4bc9-9f8a-ccd384c85475,131,30,Adolescent Adults,Female,Gibraltar,Europe,song
171fe28f-b7ae-4a5d-aabc-ca2b2f407e52,132,43,Mature Adults,Other,Monaco,Europe,which
df174350-a0ae-432a-84e0-5f93cfd8ff88,14,26,Adolescent Adults,Other,Mali,Africa,entire
9353de9c-4dea-4793-a893-52cb57feeeca,133,36,Mature Adults,Other,Antigua and Barbuda,NorthAmerica,role
73070c90-9661-4eb5-8a07-d35d93434592,120,59,Senior Adults,Other,Switzerland,Europe,daughter
7f339b1b-8b66-4719-8774-dff18a1cf532,56,49,Senior Adults,Female,Western Sahara,Africa,attorney
3e7ce8b2-479f-4996-b6aa-303d1ff544c1,55,18,Adolescent Adults,Other,Saint Martin,NorthAmerica,lose
e5711b5c-276f-4307-9865-3597f125cf7e,118,23,Adolescent Adults,Other,Turkmenistan,Asia,on
1bd6084a-ff8c-4a22-95b6-e55f56c70e48,134,45,Mature Adults,Other,Bermuda,NorthAmerica,class
78dcd58e-7e60-4f4d-99b0-4f70dce20f19,135,34,Mature Adults,Male,Benin,Africa,military
6622b0bc-3c0e-41dc-baa1-4fe7746b5a6c,126,47,Senior Adults,Male,Serbia,Europe,blue
e755c339-5ee7-4a76-8cbd-c32df0e86180,136,60,Senior Adults,Female,Pitcairn Islands,Oceania,line
f8d527f9-d39c-407e-acdd-8da98c969b7f,137,61,Senior Adults,Other,Tanzania,Africa,early
ff407b9d-83a1-47f3-9cb6-1f6723fae081,36,60,Senior Adults,Female,Cape Verde,Africa,charge
d723e122-65d1-4c14-b978-926ae9d0904b,47,58,Senior Adults,Other,Jamaica,NorthAmerica,quite
3ebe76d0-04f9-4053-a15b-6b8fc4218e28,14,40,Mature Adults,Male,Mali,Africa,kind
a6423c68-e2c5-483d-8c4f-c310485eaff1,97,24,Adolescent Adults,Male,Cyprus,Asia,father
f6251536-ed08-4dd1-9995-da4a706cfe55,17,31,Mature Adults,Female,Ukraine,Europe,sometimes
910346b9-81a8-4bbd-964e-03d1bc7d0a61,138,26,Adolescent Adults,Other,Japan,Asia,study
3b8b3f43-c227-4232-976f-16589159c39f,139,57,Senior Adults,Female,Mongolia,Asia,career
e1b4afd3-9cfc-4382-9c8f-99d9c078072c,134,47,Senior Adults,Male,Bermuda,NorthAmerica,he
fec2f4cb-6168-418f-84ec-a7ac6ddef504,140,45,Mature Adults,Female,Gambia,Africa,detail
ed1eb51d-e1ba-47fc-adfb-d0d6abaa4e50,141,26,Adolescent Adults,Male,New Caledonia,Oceania,ground
c0dff3f3-eddb-4dc2-ab30-2d4b664432f6,46,57,Senior Adults,Female,Malaysia,Asia,cultural
58c70fcc-5136-418f-920d-851ed33967b8,71,20,Adolescent Adults,Male,Bosnia and Herzegovina,Europe,key
860f91d3-55cc-45ed-a9fc-fc5bec3396ad,142,42,Mature Adults,Male,Bouvet Island (Bouvetoya),Antarctica,finally
ffc59661-cc83-45a6-b5bf-662272ab81eb,101,28,Adolescent Adults,Male,Guam,Oceania,nice
c4ea2f9a-74a0-402c-83f2-79152fa2ee23,143,41,Mature Adults,Male,Mauritania,Africa,sea
e0d250b8-0150-4164-b7c6-93ae73f36734,98,24,Adolescent Adults,Other,Costa Rica,NorthAmerica,guess
26a3ce12-586a-44a1-b993-0ddd53c0b362,144,62,Senior Adults,Female,Swaziland,Africa,recently
e0e59141-8d59-4844-a507-bd81a8447c3b,59,43,Mature Adults,Male,Slovenia,Europe,bad
944a2353-3e22-4627-b3ad-c8fdd50d7442,8,60,Senior Adults,Other,Hong Kong,Asia,car
d606dcd0-d189-45b0-b455-00cb24225cdd,55,62,Senior Adults,Female,Saint Martin,NorthAmerica,film
70b19a08-71e0-4b20-96f3-bddb8f386ab7,12,52,Senior Adults,Male,Korea,Asia,avoid
07d7a56e-2569-4dfe-9d20-4d0d3a0d99f2,57,27,Adolescent Adults,Other,Sweden,Europe,those
691a3928-62a3-4213-8a4c-00efdab311b0,130,63,Senior Adults,Female,Kuwait,Asia,long
fc58a64b-da5b-4fbb-b272-e58d002c6f2b,145,26,Adolescent Adults,Male,Belarus,Europe,might
45ebb315-648d-4714-96bd-1655346860dc,146,38,Mature Adults,Other,French Guiana,SouthAmerica,service
e3b8321b-977c-42cb-8d5d-70b5a95aa91c,147,28,Adolescent Adults,Other,Togo,Africa,lawyer
00b35d57-ae0f-4668-9d48-1ba9374a1c75,120,24,Adolescent Adults,Female,Switzerland,Europe,avoid
84aca0bb-ad16-48b7-8aeb-585f9e6df01c,148,59,Senior Adults,Other,Portugal,Europe,plant
8f2e1322-3602-4751-b1e3-93cef77ee2a3,66,37,Mature Adults,Female,Sao Tome and Principe,Africa,draw
b74b8a1b-ad53-4f16-afb4-16939c31c03a,149,20,Adolescent Adults,Male,Isle of Man,Europe,have
09253e5f-d483-4dbe-9948-f05525888430,150,31,Mature Adults,Male,El Salvador,NorthAmerica,provide
2e4a4177-e62e-4df6-9aa3-23ff2a651120,151,44,Mature Adults,Other,French Polynesia,Oceania,get
afaefdc3-f3b4-449a-a527-42324e49904a,138,38,Mature Adults,Female,Japan,Asia,third
985413c9-246f-407f-85aa-0f98d1a09499,114,55,Senior Adults,Male,Niger,Africa,recently
1088f2ca-f502-4bb2-a0aa-ccc4dc9c3568,33,40,Mature Adults,Female,Bhutan,Asia,record
