Location_ID,Audience_Location,Audience_Continent
96,Albania,Europe
97,Cyprus,Asia
98,Costa Rica,NorthAmerica
99,Czech Republic,Europe
100,Lesotho,Africa
101,Guam,Oceania
102,Austria,Europe
103,Egypt,Africa
104,Papua New Guinea,Oceania
105,Marshall Islands,Oceania
106,Paraguay,SouthAmerica
107,Thailand,Asia
108,Estonia,Europe
109,Saint Helena,Africa
110,Antarctica (the territory South of 60 deg S),Antarctica
111,Bahrain,Asia
112,Poland,Europe
113,Equatorial Guinea,Africa
114,Niger,Africa
115,Dominica,NorthAmerica
116,Liberia,Africa
117,Cocos (Keeling) Islands,Oceania
118,Turkmenistan,Asia
119,Tuvalu,Oceania
120,Switzerland,Europe
121,Iran,Asia
122,Uzbekistan,Asia
123,Australia,Oceania
124,Panama,NorthAmerica
125,Brazil,SouthAmerica
126,Serbia,Europe
127,Seychelles,Africa
128,Tunisia,Africa
129,Oman,Asia
130,Kuwait,Asia
131,Gibraltar,Europe
132,Monaco,Europe
133,Antigua and Barbuda,NorthAmerica
134,Bermuda,NorthAmerica
135,Benin,Africa
136,Pitcairn Islands,Oceania
137,Tanzania,Africa
138,Japan,Asia
139,Mongolia,Asia
140,Gambia,Africa
141,New Caledonia,Oceania
142,Bouvet Island (Bouvetoya),Antarctica
143,Mauritania,Africa
144,Swaziland,Africa
145,Belarus,Europe
146,French Guiana,SouthAmerica
147,Togo,Africa
148,Portugal,Europe
149,Isle of Man,Europe
150,El Salvador,NorthAmerica
151,French Polynesia,Oceania
152,Honduras,NorthAmerica
153,Zimbabwe,Africa
154,Guadeloupe,NorthAmerica
155,Lithuania,Europe
156,Haiti,NorthAmerica
157,Vanuatu,Oceania
158,Somalia,Africa
159,Fiji,Oceania
160,American Samoa,Oceania
161,Mozambique,Africa
162,Latvia,Europe
163,Comoros,Africa
164,Guinea-Bissau,Africa
165,Eritrea,Africa
166,Finland,Europe
167,Faroe Islands,Europe
168,Slovakia (Slovak Republic),Europe
169,Chad,Africa
170,United States Minor Outlying Islands,Oceania
171,Angola,Africa
172,Saudi Arabia,Asia
173,Bahamas,NorthAmerica
174,Puerto Rico,NorthAmerica
175,Ethiopia,Africa
176,France,Europe
177,Colombia,SouthAmerica
178,Philippines,Asia
179,Bulgaria,Europe
180,Guyana,SouthAmerica
181,San Marino,Europe
182,South Georgia and the South Sandwich Islands,SouthAmerica
183,United States of America,NorthAmerica
184,Namibia,Africa
185,Montserrat,NorthAmerica
186,Turkey,Asia
187,Iraq,Asia
188,Northern Mariana Islands,Oceania
189,Zambia,Africa
190,Yemen,Asia
191,Guernsey,Europe
192,Palestinian Territory,Asia
193,China,Asia
194,Barbados,NorthAmerica
195,Belize,NorthAmerica
196,Chile,SouthAmerica
197,Wallis and Futuna,Oceania
198,Luxembourg,Europe
199,New Zealand,Oceania
200,Pakistan,Asia
201,Singapore,Asia
202,Cote d'Ivoire,Africa
203,Mexico,NorthAmerica
204,Burundi,Africa
205,North Macedonia,Europe
206,United Kingdom,Europe
207,Madagascar,Africa
208,Sierra Leone,Africa
209,Netherlands Antilles,NorthAmerica
210,Central African Republic,Africa
211,Azerbaijan,Asia
212,Syrian Arab Republic,Asia
213,Italy,Europe
214,Saint Vincent and the Grenadines,NorthAmerica
215,Guatemala,NorthAmerica
216,Taiwan,Asia
217,Saint Lucia,NorthAmerica
218,Samoa,Oceania
219,Myanmar,Asia
220,Saint Pierre and Miquelon,NorthAmerica
221,Malta,Europe
222,Lebanon,Asia
223,Romania,Europe
224,Turks and Caicos Islands,NorthAmerica
225,Canada,NorthAmerica
226,British Indian Ocean Territory (Chagos Archipelago),Africa
227,Cayman Islands,NorthAmerica
228,Holy See (Vatican City State),Europe
229,Ireland,Europe
230,Mauritius,Africa
231,Dominican Republic,NorthAmerica
232,Djibouti,Africa
233,Nicaragua,NorthAmerica
234,Germany,Europe
235,Iceland,Europe
236,Kyrgyz Republic,Asia
237,British Virgin Islands,NorthAmerica
238,Cook Islands,Oceania
239,Argentina,SouthAmerica
240,Armenia,Asia
241,India,Africa
242,Nauru,Oceania
243,Niue,Oceania
