Post_ID,Likes,Comments,Shares,Impressions,Reach,Engagement_Rate,Total_Engagement,Calculated_Engagement_Rate,Engagement_per_Impression,Reach_Efficiency,Performance_Level
021c8d71-e1db-42ce-b1af-7115c5bffa6a,971,489,9,3862,2837,51.78,1469,51.78,38.04,73.46,High
d18925b0-838f-49fd-a3b0-a3c9a8aba6a8,716,470,119,2889,1976,66.04,1305,66.04,45.17,68.4,High
d1caaf47-ada6-4ff5-9cd9-b7e848af7df3,78,78,108,4815,1673,15.78,264,15.78,5.48,34.75,High
f8242283-2095-447c-9683-4a22340d20d2,928,409,79,4767,4345,32.59,1416,32.59,29.7,91.15,High
fd839329-993f-4902-864e-96d0827fd7c2,227,244,174,3482,1138,56.68,645,56.68,18.52,32.68,High
37dee93e-dd1f-4278-bc72-c03354013766,660,212,176,4978,3311,31.65,1048,31.65,21.05,66.51,High
775e17f5-b922-4ef7-9962-b580edcfd8a7,631,152,142,2863,1154,80.16,925,80.16,32.31,40.31,High
fa301855-6170-4ebb-8308-18afb289676b,44,426,125,4653,4391,13.55,595,13.55,12.79,94.37,High
5290f6ba-dabb-401f-b117-497898141264,1000,306,160,3682,2313,63.38,1466,63.38,39.82,62.82,High
abaefb8c-b325-4270-9360-d384858b624c,726,221,34,2360,1954,50.2,981,50.2,41.57,82.8,High
c7a7f6d4-d5e4-4372-a607-212a6e743303,610,33,58,2946,2843,24.66,701,24.66,23.79,96.5,High
029ff8cc-5535-4f13-b444-01839e3ee2e0,341,302,101,4639,4542,16.38,744,16.38,16.04,97.91,High
1877a2bb-b9a6-4fa9-bfcb-7e6db62c6926,105,35,134,2407,1114,24.6,274,24.6,11.38,46.28,High
78f18c82-0f65-4160-9151-e56e0f0bd171,620,51,113,4890,2322,33.76,784,33.76,16.03,47.48,High
3f1168ee-fa43-421e-9d4b-2d672bbb8d3d,469,491,163,4727,2762,40.66,1123,40.66,23.76,58.43,High
802e3d46-5e55-444c-a9d6-1e7dd994f23f,166,368,103,4547,1112,57.28,637,57.28,14.01,24.46,High
49792d7b-f082-43fb-889c-e718b8887933,792,244,141,2560,2197,53.57,1177,53.57,45.98,85.82,High
5c6cfc95-6bbb-47a9-99fe-ea98c89ca2f2,178,188,138,2925,1442,34.95,504,34.95,17.23,49.3,High
05451de5-f04a-4789-a709-a73d524e880e,543,473,129,4194,2781,41.17,1145,41.17,27.3,66.31,High
a2af2c22-08a7-4269-b8cd-576eac4b084f,188,325,8,4409,2785,18.71,521,18.71,11.82,63.17,High
79c782e9-d5ac-45e8-8050-8f91ea973866,318,128,162,4003,1692,35.93,608,35.93,15.19,42.27,High
cda42959-1c62-4cbb-8e19-4ce2aae3ff90,751,234,146,4232,3083,36.69,1131,36.69,26.72,72.85,High
f5b40169-132b-4b90-a5dc-0b4823153fd9,73,435,7,3273,1974,26.09,515,26.09,15.73,60.31,High
1fca60f1-8d6c-4242-b3be-679cf806ea5a,899,477,7,4669,1302,106.22,1383,106.22,29.62,27.89,High
2f9b0d9a-3ebb-4e30-aebc-c0c0d8a2302b,398,495,89,4935,4194,23.41,982,23.41,19.9,84.98,High
d45ee71c-bbaa-46e0-892a-ccb99d256519,800,355,155,3619,2552,51.33,1310,51.33,36.2,70.52,High
40853101-4540-423c-ba2d-162635f09178,954,236,141,4759,3868,34.41,1331,34.41,27.97,81.28,High
daa5695e-7aa6-4aa1-8aff-aab66269d075,641,1,103,2708,1427,52.21,745,52.21,27.51,52.7,High
2affbbe2-6f9a-47fe-925c-d9f564fcc861,158,38,98,4414,3578,8.22,294,8.22,6.66,81.06,Medium
9b3d01fe-b807-4135-b858-35f1ee9e97e2,481,485,53,4588,4520,22.54,1019,22.54,22.21,98.52,High
7c0a7424-64ac-4162-a79d-238adb6c3dfc,932,380,43,4588,2166,62.56,1355,62.56,29.53,47.21,High
e94433cc-d350-4d85-a7fa-8ba1968afd2d,378,347,166,4486,2151,41.42,891,41.42,19.86,47.95,High
332ec70a-1a45-43cc-882d-ac8cd65f7c09,412,9,10,2248,1314,32.8,431,32.8,19.17,58.45,High
917012e5-658c-46cc-b3b9-13f7b0a8ef00,333,93,45,1836,1609,29.27,471,29.27,25.65,87.64,High
d514051f-c624-4337-be65-36bdd647c21c,407,372,124,3924,3844,23.49,903,23.49,23.01,97.96,High
8ad930ca-d9ae-4a5d-856d-8dc1610199e6,751,435,45,3612,2169,56.75,1231,56.75,34.08,60.05,High
f0ffe63e-a717-4a01-a71f-7c0cc84d1da4,263,190,45,4574,2493,19.98,498,19.98,10.89,54.5,High
547a719e-81ea-470f-a6ba-9e6c81b334af,312,171,193,3866,1045,64.69,676,64.69,17.49,27.03,High
655ae252-75eb-4486-9992-154ae10cb99a,528,300,127,4980,3346,28.54,955,28.54,19.18,67.19,High
64f5db2f-bf64-4221-85df-164fd29b6562,420,296,110,4792,3393,24.34,826,24.34,17.24,70.81,High
23eb3243-5b2c-4b07-bfa2-1041c1c73068,406,161,59,4487,2285,27.4,626,27.4,13.95,50.92,High
1e406e05-2f28-409e-9256-a83c1b5c328e,187,441,70,4670,2119,32.94,698,32.94,14.95,45.37,High
3f1433fc-ae9c-4184-8a6c-ab497ed736a9,855,203,110,4966,4832,24.17,1168,24.17,23.52,97.3,High
b7cecc62-73e9-4ba9-a6bb-e8cda4b1376c,738,138,52,2795,2010,46.17,928,46.17,33.2,71.91,High
db8a8470-51cc-4b90-aaec-a08d7f806d93,765,306,0,4412,1954,54.81,1071,54.81,24.27,44.29,High
c2be5589-f1fd-4322-9767-24850a3a1bcf,83,137,20,4320,2200,10.91,240,10.91,5.56,50.93,High
1f187df3-f692-42fb-a542-96e131b192bb,702,38,101,2770,2720,30.92,841,30.92,30.36,98.19,High
7432caf7-56ec-43ee-8bf4-2be03ce72c44,998,262,99,1740,1089,124.79,1359,124.79,78.1,62.59,High
cc9ad55a-1fa6-44dd-81e1-e0cdb55c4c9e,946,387,150,4420,1815,81.71,1483,81.71,33.55,41.06,High
a096cc2a-873c-4857-a15e-f826f1bb9596,92,318,49,2913,2488,18.45,459,18.45,15.76,85.41,High
99f8e4a2-7b4f-498d-ad22-8ad953fe21eb,632,465,176,3123,1743,73.03,1273,73.03,40.76,55.81,High
ead2fdd1-1a9f-41b1-8930-bbff55e69993,821,382,126,2455,1805,73.63,1329,73.63,54.13,73.52,High
c315e79c-ead7-43b7-8f83-ab6e845f3754,972,421,200,3367,1364,116.79,1593,116.79,47.31,40.51,High
bddddcd2-0018-46db-93fa-6078c1038db0,363,480,53,4507,2576,34.78,896,34.78,19.88,57.16,High
0ebfa279-0eca-4919-b715-76f2ca6a7043,454,126,52,3107,1468,43.05,632,43.05,20.34,47.25,High
921a6f78-26a8-45b1-a297-4dd6462c3311,172,43,188,3330,1973,20.43,403,20.43,12.1,59.25,High
798542d2-d5cf-4912-877e-5b10b045089a,597,354,70,4885,1782,57.3,1021,57.3,20.9,36.48,High
21111b73-2954-4903-81ef-3428d2a7ce86,207,421,95,3815,3080,23.47,723,23.47,18.95,80.73,High
c57bfae8-4217-40b7-9844-264f20383cc4,932,421,130,4946,3957,37.48,1483,37.48,29.98,80.0,High
d7dcee29-7c2d-46c1-8407-a866a5096a95,657,244,21,4810,2219,41.55,922,41.55,19.17,46.13,High
be52fc94-1618-4f03-932d-fd13c2f19f54,684,458,185,2672,1732,76.62,1327,76.62,49.66,64.82,High
e33956b1-262c-4744-9474-55ff6f5222fb,210,425,88,4766,2273,31.81,723,31.81,15.17,47.69,High
203dc70d-0a0d-4b9c-b2a2-dd13e3812a05,125,461,60,2658,1371,47.12,646,47.12,24.3,51.58,High
135e99a3-29a5-4843-96cd-d79ddd6515a0,404,480,166,4651,2694,38.98,1050,38.98,22.58,57.92,High
00333ed0-b4c8-496b-826a-5626710da914,737,53,33,2850,2177,37.8,823,37.8,28.88,76.39,High
810e8efe-e7b3-4dd9-8ee4-97bd108fb6c2,265,211,197,3778,2174,30.96,673,30.96,17.81,57.54,High
787f2fb9-4d2c-4a7b-a98b-0a4621128f03,836,298,128,3116,2303,54.8,1262,54.8,40.5,73.91,High
6c2d771b-8921-454b-9ee2-70e4266d32af,912,313,81,3759,2378,54.92,1306,54.92,34.74,63.26,High
7692ca40-b539-4ed5-bc92-749876609677,243,365,63,3357,1475,45.49,671,45.49,19.99,43.94,High
e6a208bf-8a4b-4e32-ab52-f4559af2e094,64,18,88,4925,2009,8.46,170,8.46,3.45,40.79,Medium
6469cbb0-e5e5-4f8b-b735-0ec22830f84c,929,406,100,4794,1782,80.53,1435,80.53,29.93,37.17,High
e1394ac4-cc9b-4ca3-ab4d-4c5fac881b52,892,486,190,3594,3152,49.75,1568,49.75,43.63,87.7,High
7c46d901-fb6b-40bf-8d5d-a69b9644803f,549,141,132,4508,4155,19.78,822,19.78,18.23,92.17,High
c9cff934-e4e1-4dac-a9dc-01042c971085,826,428,172,3608,1059,134.66,1426,134.66,39.52,29.35,High
82a8181e-367c-4154-93e4-d050f6ead889,301,453,78,4551,1391,59.81,832,59.81,18.28,30.56,High
e99f4f81-45fa-44ef-b465-73b1f51eb79e,136,238,118,2771,2311,21.29,492,21.29,17.76,83.4,High
31ae27f1-3ea1-47b7-8093-8b9eeb678026,848,419,158,4989,3997,35.65,1425,35.65,28.56,80.12,High
815c982b-4035-43fb-b1e9-5effc46f58a9,933,385,90,3926,2115,66.57,1408,66.57,35.86,53.87,High
5fe535df-d7f5-4c66-92d7-01894df3bbda,802,482,12,3861,3755,34.51,1296,34.51,33.57,97.25,High
38c9e082-fbd6-443e-9a41-735c90d4214b,28,495,62,4041,3032,19.29,585,19.29,14.48,75.03,High
408346da-8104-48f9-8df4-c4426cdaa20a,31,31,162,4356,4251,5.27,224,5.27,5.14,97.59,Medium
6ecdcc28-0701-4183-aab5-35988a71cc4f,235,167,138,4095,1365,39.56,540,39.56,13.19,33.33,High
9f0ab432-ce9c-47cb-9eac-d499f19a0698,205,115,182,4760,2550,19.69,502,19.69,10.55,53.57,High
57eac3a1-f055-46f2-999b-275e60f3d402,143,388,56,3820,3408,17.22,587,17.22,15.37,89.21,High
434e7bc1-35de-4b9b-b1c3-f67b504863ce,894,171,154,4825,3440,35.44,1219,35.44,25.26,71.3,High
eb724875-fea6-48c6-bd77-6fd923234b40,777,427,198,4041,1683,83.3,1402,83.3,34.69,41.65,High
9456c066-dc89-46e0-a5a5-3eaa028d7e05,586,278,139,2266,1492,67.23,1003,67.23,44.26,65.84,High
cbe61817-c9c1-415e-99d9-a8b953fa7189,790,161,169,4958,2564,43.68,1120,43.68,22.59,51.71,High
81e23ba8-e6e5-4550-8576-4e2dabe42e5c,726,41,140,4476,2442,37.14,907,37.14,20.26,54.56,High
7bfcd3ca-40dd-4a48-ba9a-93db6a0fb986,847,213,74,4281,1799,63.04,1134,63.04,26.49,42.02,High
6350e102-a982-4bf2-9161-000680bbc670,51,296,70,3309,2364,17.64,417,17.64,12.6,71.44,High
d6d8d409-a41a-4d1b-8ed7-57e8eeefcab8,366,82,122,4888,2659,21.44,570,21.44,11.66,54.4,High
f2506ec8-34e1-4160-9e6a-422a0b3368e6,493,377,92,2019,1001,96.1,962,96.1,47.65,49.58,High
89077450-f1ff-4c1f-a121-9c5b494c353e,630,185,147,4782,2942,32.7,962,32.7,20.12,61.52,High
9660a5ba-acb6-4592-862d-8d569660eb24,807,417,196,3809,2243,63.31,1420,63.31,37.28,58.89,High
9525f62e-b10c-4b0f-aed1-6709ede5ba73,816,153,140,3953,2607,42.54,1109,42.54,28.05,65.95,High
facac0a7-ecb0-46eb-97b8-c012e64f5577,744,477,65,4763,1882,68.33,1286,68.33,27.0,39.51,High
a8ad1dd7-e3a8-4796-8d18-7bfce154b8c9,804,212,109,2749,1015,110.84,1125,110.84,40.92,36.92,High
a4d7ac40-5846-4a32-ab29-71662c2d4785,890,373,131,3351,1460,95.48,1394,95.48,41.6,43.57,High
74fc0b2b-ce96-4a44-87f8-9e6f16d3a197,759,206,21,4041,1333,73.97,986,73.97,24.4,32.99,High
0985e8b9-d0d8-458a-aa5f-9c82f070c4e2,227,475,26,4292,2159,33.72,728,33.72,16.96,50.3,High
98efca0c-94eb-42b8-ab15-1a12dd907d8f,728,482,183,4855,2323,59.97,1393,59.97,28.69,47.85,High
52e5a465-a945-4913-9a43-11ba7241b417,924,235,136,1350,1090,118.81,1295,118.81,95.93,80.74,High
ca0ba72a-f0b0-4345-9e53-8fb2dd019fea,650,91,150,3076,1597,55.79,891,55.79,28.97,51.92,High
c29b5602-1439-4196-a275-08bf99b4f504,730,274,26,4379,1077,95.64,1030,95.64,23.52,24.59,High
b1952b9c-b229-47b9-99bd-5543adbb2268,826,213,121,4873,3464,33.49,1160,33.49,23.8,71.09,High
6df76622-79fa-4914-bc18-f4baf4139d6b,883,159,55,2804,1662,66.0,1097,66.0,39.12,59.27,High
a1241aa3-7115-487e-8c73-0eadcc561d71,727,159,35,4388,1838,50.11,921,50.11,20.99,41.89,High
677eb5e3-8f10-472c-a3e9-37b821c6924b,284,491,170,1133,1065,88.73,945,88.73,83.41,94.0,High
785a2bbd-a410-4c9f-a295-bbba0cb678f1,560,356,91,4856,3076,32.74,1007,32.74,20.74,63.34,High
41a4254e-4665-4494-905c-b6f5cf30c3e2,861,183,125,2053,1623,72.03,1169,72.03,56.94,79.06,High
718770aa-2e9b-42f4-a4ce-dfcf364267d9,379,182,125,2372,2089,32.84,686,32.84,28.92,88.07,High
b921ec1e-dabb-44c4-b8e7-7ae60c07ab08,783,356,25,4170,2106,55.27,1164,55.27,27.91,50.5,High
91a58e49-73cb-47d0-b581-f75fb4871a28,215,4,109,4470,3640,9.01,328,9.01,7.34,81.43,Medium
97f6f705-cf78-43e6-8aa7-798865a0056a,591,83,130,3479,1931,41.64,804,41.64,23.11,55.5,High
83f2111d-b3f3-4b56-8c04-23f15a066b26,850,326,145,3712,2553,51.74,1321,51.74,35.59,68.78,High
9e54da64-53fa-40a7-b080-15f242eb0a7c,31,221,151,3123,2609,15.45,403,15.45,12.9,83.54,High
9560fd79-56ef-4e76-a1a2-7427e86c80eb,659,373,80,3458,1533,72.54,1112,72.54,32.16,44.33,High
a0be9be2-d734-4172-a44d-cfc367b9c8be,741,67,154,3258,2503,38.43,962,38.43,29.53,76.83,High
38fa455a-97e2-4196-88a1-73f3d6eb0b5d,166,233,159,4618,1322,42.21,558,42.21,12.08,28.63,High
5be063c7-6dd0-4fd0-8533-159940715c55,248,170,50,4005,1559,30.02,468,30.02,11.69,38.93,High
997c5daf-8970-41c5-8e3a-f2bf19744977,82,387,33,2252,1190,42.18,502,42.18,22.29,52.84,High
c53cb715-e9bd-4cec-a067-febf60fe7c34,14,65,50,2424,1546,8.34,129,8.34,5.32,63.78,Medium
7baf01e1-d22f-427f-8dd3-00ca6543ac2f,726,211,159,4637,3505,31.27,1096,31.27,23.64,75.59,High
6bb0064e-6143-40cc-83ac-5e759642f975,761,39,140,4595,3392,27.71,940,27.71,20.46,73.82,High
019b8401-4c8c-4f43-a31a-16b8920d0c38,202,59,158,3580,3106,13.49,419,13.49,11.7,86.76,High
6fe1fd65-f77b-47db-8e61-a9cac1a49865,72,127,111,3538,1544,20.08,310,20.08,8.76,43.64,High
b710de5a-b10e-4851-8bea-a37ed31d3d07,646,40,143,4290,3204,25.87,829,25.87,19.32,74.69,High
9fa31519-125c-48bf-8757-fbe67eb72b36,553,469,54,1181,1141,94.3,1076,94.3,91.11,96.61,High
6c7f370c-7b82-4d4c-bf18-8d019ab2cfc8,710,137,163,2266,2181,46.31,1010,46.31,44.57,96.25,High
1ec06b12-e80c-4d38-bed8-8aad44e378dd,712,5,191,3798,3584,25.33,908,25.33,23.91,94.37,High
2455848a-f36d-41d8-85e8-2a7bca221f72,677,118,196,4313,1729,57.32,991,57.32,22.98,40.09,High
814daa87-34f9-45cf-8011-903ad1e05885,978,31,124,4616,3086,36.71,1133,36.71,24.55,66.85,High
93dc14ac-3c9b-429a-97c9-0db4cfcfe9f9,507,401,110,4035,1544,65.93,1018,65.93,25.23,38.27,High
10458bc0-9cd1-409e-8098-bcb994db9009,801,413,17,4527,2436,50.53,1231,50.53,27.19,53.81,High
aac64f13-2ddc-4ba2-b56f-58c94c07a8ed,798,70,181,4339,1744,60.15,1049,60.15,24.18,40.19,High
353685dc-096e-4cf4-b462-4d85d8c78840,759,355,24,4982,3030,37.56,1138,37.56,22.84,60.82,High
a15ac83e-ecd1-4838-b510-6be673722673,351,500,154,4455,2208,45.52,1005,45.52,22.56,49.56,High
9e954e9a-9b09-4fc2-b629-7f5de7ba8092,415,163,133,3814,3313,21.46,711,21.46,18.64,86.86,High
551159f5-a631-4f20-90ef-0a232e8c2707,905,68,122,3916,2229,49.13,1095,49.13,27.96,56.92,High
e4522a58-fb46-4f9d-9b3a-15b2813511e2,955,459,163,4904,2126,74.18,1577,74.18,32.16,43.35,High
38b52e10-3f5b-4176-81e6-d3339e821d44,350,216,166,3185,3139,23.32,732,23.32,22.98,98.56,High
2887071e-78ec-47a6-aeb2-1bc0df2d0cc0,855,248,77,4821,3091,38.18,1180,38.18,24.48,64.12,High
d2d37f50-ca7e-4a73-a7f8-6df5a91c36e2,818,443,192,4720,1698,85.57,1453,85.57,30.78,35.97,High
cb441e82-2bda-4867-85df-356e3303a09d,869,223,31,4371,4136,27.15,1123,27.15,25.69,94.62,High
2d89f44b-31f0-4016-9904-73f8c514b879,644,424,26,4697,2812,38.9,1094,38.9,23.29,59.87,High
a675f112-bdf6-46bd-916b-5968cff8c1c2,777,321,95,4868,4140,28.82,1193,28.82,24.51,85.05,High
769013c9-a61b-4128-ad90-8c2571326cdb,858,82,17,2268,1663,57.55,957,57.55,42.2,73.32,High
ff6dc843-c082-4fb4-ab80-f461f8f8af17,180,59,50,4254,3793,7.62,289,7.62,6.79,89.16,Medium
b8517d19-e128-41da-9483-642f413cdfd4,32,245,88,4636,3641,10.02,365,10.02,7.87,78.54,High
7875ff4e-628b-480c-a024-b79c756050fe,628,115,58,4537,1480,54.12,801,54.12,17.65,32.62,High
21162ba8-f7d0-433f-a0bb-a1d16beb2889,456,395,171,3397,2416,42.3,1022,42.3,30.09,71.12,High
552bf0f9-58b1-40b2-9e27-9a3e31aa64ca,609,218,157,2421,2224,44.24,984,44.24,40.64,91.86,High
58e68832-0bb9-4850-84bd-3c211758c018,987,39,163,4305,2061,57.69,1189,57.69,27.62,47.87,High
2465542a-3a5c-457d-8df7-c4ee77d8a3ae,430,165,21,4797,4479,13.75,616,13.75,12.84,93.37,High
8467a5aa-c551-4c78-8424-6a38c11ae6ed,484,300,152,3816,3025,30.94,936,30.94,24.53,79.27,High
638fbdba-77cb-4340-bb2e-bcd19e3f969b,777,166,8,1339,1236,76.94,951,76.94,71.02,92.31,High
a5e0d855-5add-4206-b73b-6d4faf2d4953,841,210,74,2349,1267,88.79,1125,88.79,47.89,53.94,High
7e6c247e-efc5-4b60-b014-f4709fb2dc50,300,32,32,4651,4049,8.99,364,8.99,7.83,87.06,Medium
ce399bb5-51ba-4419-bf44-def77141829c,263,357,101,3612,3347,21.54,721,21.54,19.96,92.66,High
d6b1d797-722f-44ab-bebe-9fd716c8e61f,904,379,44,3980,1759,75.44,1327,75.44,33.34,44.2,High
d19d30c6-1766-4bc9-9f8a-ccd384c85475,346,180,120,4224,3170,20.38,646,20.38,15.29,75.05,High
171fe28f-b7ae-4a5d-aabc-ca2b2f407e52,395,266,36,4398,1906,36.57,697,36.57,15.85,43.34,High
df174350-a0ae-432a-84e0-5f93cfd8ff88,948,77,192,4164,1768,68.83,1217,68.83,29.23,42.46,High
9353de9c-4dea-4793-a893-52cb57feeeca,846,277,81,2743,2150,56.0,1204,56.0,43.89,78.38,High
73070c90-9661-4eb5-8a07-d35d93434592,38,221,124,3940,1114,34.38,383,34.38,9.72,28.27,High
7f339b1b-8b66-4719-8774-dff18a1cf532,509,325,86,4705,4319,21.3,920,21.3,19.55,91.8,High
3e7ce8b2-479f-4996-b6aa-303d1ff544c1,244,490,109,3499,1513,55.72,843,55.72,24.09,43.24,High
e5711b5c-276f-4307-9865-3597f125cf7e,83,206,30,4631,3926,8.13,319,8.13,6.89,84.78,Medium
1bd6084a-ff8c-4a22-95b6-e55f56c70e48,11,213,108,3326,1782,18.63,332,18.63,9.98,53.58,High
78dcd58e-7e60-4f4d-99b0-4f70dce20f19,770,199,59,4212,1712,60.05,1028,60.05,24.41,40.65,High
6622b0bc-3c0e-41dc-baa1-4fe7746b5a6c,449,37,11,4090,1011,49.16,497,49.16,12.15,24.72,High
e755c339-5ee7-4a76-8cbd-c32df0e86180,603,434,200,2267,1358,91.09,1237,91.09,54.57,59.9,High
f8d527f9-d39c-407e-acdd-8da98c969b7f,798,216,5,4267,2104,48.43,1019,48.43,23.88,49.31,High
ff407b9d-83a1-47f3-9cb6-1f6723fae081,237,286,15,2758,2171,24.78,538,24.78,19.51,78.72,High
d723e122-65d1-4c14-b978-926ae9d0904b,356,450,99,4502,1198,75.54,905,75.54,20.1,26.61,High
3ebe76d0-04f9-4053-a15b-6b8fc4218e28,338,25,75,3174,1898,23.08,438,23.08,13.8,59.8,High
a6423c68-e2c5-483d-8c4f-c310485eaff1,456,31,41,3062,1874,28.18,528,28.18,17.24,61.2,High
f6251536-ed08-4dd1-9995-da4a706cfe55,208,445,61,1782,1143,62.47,714,62.47,40.07,64.14,High
910346b9-81a8-4bbd-964e-03d1bc7d0a61,237,61,13,3128,1657,18.77,311,18.77,9.94,52.97,High
3b8b3f43-c227-4232-976f-16589159c39f,406,117,103,3642,3140,19.94,626,19.94,17.19,86.22,High
e1b4afd3-9cfc-4382-9c8f-99d9c078072c,300,23,107,4752,3180,13.52,430,13.52,9.05,66.92,High
fec2f4cb-6168-418f-84ec-a7ac6ddef504,935,188,79,4443,2073,57.98,1202,57.98,27.05,46.66,High
ed1eb51d-e1ba-47fc-adfb-d0d6abaa4e50,994,415,195,3291,1788,89.71,1604,89.71,48.74,54.33,High
c0dff3f3-eddb-4dc2-ab30-2d4b664432f6,176,373,194,3264,2770,26.82,743,26.82,22.76,84.87,High
58c70fcc-5136-418f-920d-851ed33967b8,747,132,37,3961,3225,28.4,916,28.4,23.13,81.42,High
860f91d3-55cc-45ed-a9fc-fc5bec3396ad,365,211,37,4671,3591,17.07,613,17.07,13.12,76.88,High
ffc59661-cc83-45a6-b5bf-662272ab81eb,314,115,136,4402,1076,52.51,565,52.51,12.84,24.44,High
c4ea2f9a-74a0-402c-83f2-79152fa2ee23,156,243,81,4339,4301,11.16,480,11.16,11.06,99.12,High
e0d250b8-0150-4164-b7c6-93ae73f36734,141,468,154,3914,2989,25.53,763,25.53,19.49,76.37,High
26a3ce12-586a-44a1-b993-0ddd53c0b362,947,230,195,4192,2232,61.47,1372,61.47,32.73,53.24,High
e0e59141-8d59-4844-a507-bd81a8447c3b,127,64,83,4375,3558,7.7,274,7.7,6.26,81.33,Medium
